module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
tea,tea,Teach Me Testing,TMT,Teach testing fundamentals through 7 sessions (TEA Academy),bmad-teach-me-testing,skills/bmad-tea/workflows/testarch/teach-me-testing/workflow.md,0-learning,,,false,test_artifacts,progress file|session notes|certificate
tea,tea,Test Design,TD,Risk-based test planning,bmad-testarch-test-design,skills/bmad-tea/workflows/testarch/test-design/workflow.yaml,3-solutioning,,,false,test_artifacts,test design document
tea,tea,Test Framework,TF,Initialize production-ready test framework,bmad-testarch-framework,skills/bmad-tea/workflows/testarch/framework/workflow.yaml,3-solutioning,,,false,test_artifacts,framework scaffold
tea,tea,CI Setup,CI,Configure CI/CD quality pipeline,bmad-testarch-ci,skills/bmad-tea/workflows/testarch/ci/workflow.yaml,3-solutioning,,,false,test_artifacts,ci config
tea,tea,ATDD,AT,Generate failing tests (TDD red phase),bmad-testarch-atdd,skills/bmad-tea/workflows/testarch/atdd/workflow.yaml,4-implementation,,,false,test_artifacts,atdd tests
tea,tea,Test Automation,TA,Expand test coverage,bmad-testarch-automate,skills/bmad-tea/workflows/testarch/automate/workflow.yaml,4-implementation,,,false,test_artifacts,test suite
tea,tea,Test Review,RV,Quality audit (0-100 scoring),bmad-testarch-test-review,skills/bmad-tea/workflows/testarch/test-review/workflow.yaml,4-implementation,,,false,test_artifacts,review report
tea,tea,NFR Assessment,NR,Non-functional requirements,bmad-testarch-nfr,skills/bmad-tea/workflows/testarch/nfr-assess/workflow.yaml,4-implementation,,,false,test_artifacts,nfr report
tea,tea,Traceability,TRC,Coverage traceability and gate,bmad-testarch-trace,skills/bmad-tea/workflows/testarch/trace/workflow.yaml,4-implementation,,,false,test_artifacts,traceability matrix|gate decision
